Sep	Start time	Start azimuth	End time	End azimuth
0	2.00	-30.00	4.00	-30.00
1	4.50	-180.00	8.50	-164.99
2	5.00	164.99	7.50	164.99
3	6.50	164.99	9.00	164.99
4	7.50	-175.01	10.50	175.01
5	9.00	70.01	12.00	85.01
6	9.50	-175.01	12.50	-164.99
7	11.50	-175.01	17.50	-180.00
8	16.00	164.99	18.00	164.99
9	16.50	-180.00	18.50	-180.00
10	18.00	-175.01	21.00	-180.00
11	19.50	-35.02	21.50	-35.02
12	20.50	-180.00	22.50	-180.00
13	23.50	85.01	26.50	85.01
14	25.50	-169.98	27.50	-169.98
15	27.00	-25.03	29.50	-25.03
16	30.50	-35.02	32.50	-35.02
17	30.50	60.00	32.50	60.00
18	31.00	85.01	35.00	70.01
19	32.00	70.01	34.00	70.01
20	32.00	-25.03	34.00	-25.03
21	33.00	90.00	35.50	85.01
22	33.00	45.00	35.00	45.00
23	39.00	-35.02	42.00	-30.00
24	39.00	45.00	41.00	45.00
25	42.00	45.00	44.50	45.00
26	42.50	-25.03	46.00	-19.99
27	44.00	45.00	46.00	45.00
28	45.00	79.98	47.00	79.98
29	46.00	79.98	48.50	90.00
30	46.00	49.99	48.50	54.98
31	47.00	109.99	49.00	109.99
32	48.00	-30.00	50.00	-30.00
33	48.00	10.02	50.00	10.02
34	48.00	40.01	50.00	40.01
35	49.00	-25.03	51.50	-25.03
36	49.50	45.00	51.50	45.00
37	52.50	160.01	54.50	160.01
38	53.00	-30.00	55.50	-25.03
39	54.00	85.01	57.00	90.00
40	54.00	45.00	56.00	45.00
41	55.00	45.00	57.00	45.00
42	55.50	74.99	58.00	70.01
43	56.50	85.01	59.00	79.98
44	58.00	30.00	60.00	30.00
45	61.50	-25.03	63.50	-25.03
46	63.00	35.02	65.00	35.02
47	65.50	-25.03	68.50	-30.00
48	66.50	40.01	68.50	40.01
49	67.50	90.00	71.00	79.98
50	69.00	-30.00	71.00	-30.00
51	73.00	-25.03	75.00	-25.03
52	73.00	45.00	75.50	45.00
53	76.00	15.01	78.00	15.01
54	76.00	45.00	78.50	35.02
55	78.00	-25.03	81.50	-25.03
56	79.50	40.01	81.50	40.01
57	80.00	19.99	82.50	15.01
58	83.50	90.00	85.50	90.00
59	83.50	-25.03	86.00	-25.03
60	84.00	45.00	86.00	45.00
61	85.50	25.03	87.50	25.03
62	87.50	-19.99	90.00	-19.99
63	93.50	-25.03	95.50	-25.03
64	93.50	35.02	95.50	35.02
65	93.50	60.00	95.50	60.00
66	98.50	-19.99	100.50	-19.99
67	99.50	154.97	101.50	154.97
68	104.50	-25.03	107.00	-19.99
69	106.00	164.99	108.00	164.99
70	109.00	154.97	111.00	154.97
71	109.50	-25.03	112.50	-19.99
72	109.50	35.02	111.50	35.02
73	120.50	160.01	122.50	160.01
74	121.00	-19.99	123.00	-19.99
75	124.50	164.99	126.50	164.99
76	128.00	-35.02	130.00	-35.02
77	133.50	-19.99	135.50	-19.99
78	139.00	160.01	141.00	160.01
79	139.50	-25.03	142.00	-25.03
80	143.00	164.99	145.00	164.99
81	149.00	-25.03	151.00	-25.03
82	150.00	-25.03	152.50	-25.03
83	150.00	40.01	152.00	40.01
84	156.50	-19.99	159.00	-25.03
85	162.50	-25.03	164.50	-25.03
86	173.50	-25.03	175.50	-25.03
87	178.00	-30.00	180.50	-25.03
88	182.50	-25.03	184.50	-25.03
89	183.50	-25.03	186.00	-25.03
90	185.50	160.01	187.50	160.01
91	186.50	-25.03	189.00	-25.03
92	187.50	30.00	190.00	35.02
93	190.50	40.01	192.50	40.01
94	191.50	-30.00	194.50	-25.03
95	191.50	45.00	193.50	45.00
96	192.50	35.02	195.00	30.00
97	194.50	25.03	197.50	25.03
98	196.00	-25.03	199.00	-25.03
99	196.00	40.01	202.00	35.02
100	201.50	35.02	206.50	30.00
101	202.50	79.98	204.50	79.98
102	207.00	35.02	209.00	35.02
103	207.00	-25.03	209.00	-25.03
104	208.00	30.00	213.00	35.02
105	212.50	160.01	214.50	160.01
106	212.50	30.00	216.50	35.02
107	215.50	154.97	217.50	154.97
108	216.00	74.99	218.00	74.99
109	216.50	30.00	219.50	30.00
110	220.50	25.03	222.50	25.03
111	221.50	30.00	223.50	30.00
112	224.00	40.01	228.00	25.03
113	224.50	-35.02	226.50	-35.02
114	227.00	-40.01	229.50	-40.01
115	228.50	30.00	230.50	30.00
116	230.50	30.00	232.50	30.00
117	231.00	49.99	233.00	49.99
118	233.50	25.03	236.50	25.03
119	235.50	30.00	237.50	30.00
120	237.00	160.01	239.00	160.01
121	237.50	30.00	240.50	35.02
