iid	sid	time	duration	azimuth	species
0	0	2.0	2.0	-30.00072787645578	7
1	1	4.5	4.0	-180.00000000001185	0
3	3	6.5	2.5	164.99108644283214	17
4	4	7.5	3.0	-175.00791893619873	0
5	5	9.0	3.0	70.0071055626798	12
6	6	9.5	3.0	-175.00791893619873	0
7	7	11.5	6.0	-175.00791893619873	0
8	8	16.0	2.0	164.99108644283214	17
9	9	16.5	2.0	-180.00000000001185	0
10	10	18.0	3.0	-175.00791893619873	0
11	11	19.5	2.0	-35.024873136142574	7
12	12	20.5	2.0	-180.00000000001185	0
13	13	23.5	3.0	85.0079189364793	13
14	14	25.5	2.0	-169.98206595059344	0
15	15	27.0	2.5	-25.027278761636158	7
16	16	30.5	2.0	-35.024873136142574	7
17	17	30.5	2.0	59.99927212377933	11
18	18	31.0	4.0	85.0079189364793	13
19	19	32.0	2.0	70.0071055626798	12
20	20	32.0	2.0	-25.027278761636158	7
21	21	33.0	2.5	89.99999999971944	13
22	22	33.0	2.0	44.999999999974314	11
23	23	39.0	3.0	-35.024873136142574	7
24	24	39.0	2.0	44.999999999974314	11
25	25	42.0	2.5	44.999999999974314	11
26	26	42.5	3.5	-25.027278761636158	7
27	27	44.0	2.0	44.999999999974314	11
28	28	45.0	2.0	79.98206595087397	12
29	29	46.0	2.5	79.98206595087397	12
30	30	46.0	2.5	49.98904098524985	11
31	31	47.0	2.0	109.99289443733204	14
32	32	48.0	2.0	-30.00072787645578	7
33	33	48.0	2.0	10.01793404936114	9
34	34	48.0	2.0	40.010959014756075	11
35	35	49.0	2.5	-25.027278761636158	7
36	36	49.5	2.0	44.999999999974314	11
37	37	52.5	2.0	160.00710556297219	17
38	38	53.0	2.5	-30.00072787645578	7
39	39	54.0	3.0	85.0079189364793	13
40	40	54.0	2.0	44.999999999974314	11
41	41	55.0	2.0	44.999999999974314	11
42	42	55.5	2.5	74.9910864431127	12
43	43	56.5	2.5	85.0079189364793	13
44	44	58.0	2.0	30.00072787645578	10
45	45	61.5	2.0	-25.027278761636158	7
46	46	63.0	2.0	35.024873136142574	10
47	47	65.5	3.0	-25.027278761636158	7
48	48	66.5	2.0	40.010959014756075	11
49	49	67.5	3.5	89.99999999971944	13
50	50	69.0	2.0	-30.00072787645578	7
51	51	73.0	2.0	-25.027278761636158	7
52	52	73.0	2.5	44.999999999974314	11
53	53	76.0	2.0	15.0089135571797	9
54	54	76.0	2.5	44.999999999974314	11
55	55	78.0	3.5	-25.027278761636158	7
56	56	79.5	2.0	40.010959014756075	11
57	57	80.0	2.5	19.992894437211532	9
58	58	83.5	2.0	89.99999999971944	13
59	59	83.5	2.5	-25.027278761636158	7
60	60	84.0	2.0	44.999999999974314	11
61	61	85.5	2.0	25.027278761636158	10
62	62	87.5	2.5	-19.992894437211532	8
63	63	93.5	2.0	-25.027278761636158	7
64	64	93.5	2.0	35.024873136142574	10
65	65	93.5	2.0	59.99927212377933	11
66	66	98.5	2.0	-19.992894437211532	8
67	67	99.5	2.0	154.97272123808924	16
68	68	104.5	2.5	-25.027278761636158	7
69	69	106.0	2.0	164.99108644283214	17
70	70	109.0	2.0	154.97272123808924	16
71	71	109.5	3.0	-25.027278761636158	7
72	72	109.5	2.0	35.024873136142574	10
73	73	120.5	2.0	160.00710556297219	17
74	74	121.0	2.0	-19.992894437211532	8
75	75	124.5	2.0	164.99108644283214	17
76	76	128.0	2.0	-35.024873136142574	7
77	77	133.5	2.0	-19.992894437211532	8
78	78	139.0	2.0	160.00710556297219	17
79	79	139.5	2.5	-25.027278761636158	7
80	80	143.0	2.0	164.99108644283214	17
81	81	149.0	2.0	-25.027278761636158	7
82	82	150.0	2.5	-25.027278761636158	7
83	83	150.0	2.0	40.010959014756075	11
84	84	156.5	2.5	-19.992894437211532	8
85	85	162.5	2.0	-25.027278761636158	7
86	86	173.5	2.0	-25.027278761636158	7
87	87	178.0	2.5	-30.00072787645578	7
88	88	182.5	2.0	-25.027278761636158	7
89	89	183.5	2.5	-25.027278761636158	7
90	90	185.5	2.0	160.00710556297219	17
91	91	186.5	2.5	-25.027278761636158	7
92	92	187.5	2.5	30.00072787645578	10
93	93	190.5	2.0	40.010959014756075	11
94	94	191.5	3.0	-30.00072787645578	7
95	95	191.5	2.0	44.999999999974314	11
96	96	192.5	2.5	35.024873136142574	10
97	97	194.5	3.0	25.027278761636158	10
98	98	196.0	3.0	-25.027278761636158	7
99	99	196.0	6.0	40.010959014756075	11
100	100	201.5	5.0	35.024873136142574	10
101	101	202.5	2.0	79.98206595087397	12
102	102	207.0	2.0	35.024873136142574	10
103	103	207.0	2.0	-25.027278761636158	7
104	104	208.0	5.0	30.00072787645578	10
105	105	212.5	2.0	160.00710556297219	17
106	106	212.5	4.0	30.00072787645578	10
107	107	215.5	2.0	154.97272123808924	16
108	108	216.0	2.0	74.9910864431127	12
109	109	216.5	3.0	30.00072787645578	10
110	110	220.5	2.0	25.027278761636158	10
111	111	221.5	2.0	30.00072787645578	10
112	112	224.0	4.0	40.010959014756075	11
113	113	224.5	2.0	-35.024873136142574	7
114	114	227.0	2.5	-40.010959014756075	6
115	115	228.5	2.0	30.00072787645578	10
116	116	230.5	2.0	30.00072787645578	10
117	117	231.0	2.0	49.98904098524985	11
118	118	233.5	3.0	25.027278761636158	10
119	119	235.5	2.0	30.00072787645578	10
120	120	237.0	2.0	160.00710556297219	17
121	121	237.5	3.0	30.00072787645578	10
